location,Jardim de Belém
lat,38.75000
lon,-9.00000
asl,70.106
variable,Precipitation Total
unit,mm
level,sfc
resolution,hourly
aggregation,None
timestamp,Jardim de Belém Precipitation Total
20230112T1800,0.0
20230112T1900,0.0
20230112T2000,0.0
20230112T2100,0.0
20230112T2200,0.0
20230112T2300,0.0
20230113T0000,0.0
20230113T0100,0.0
20230113T0200,0.0
20230113T0300,0.0
20230113T0400,0.0
20230113T0500,0.0
20230113T0600,0.0
20230113T0700,0.0
20230113T0800,0.0
20230113T0900,0.0
20230113T1000,0.0
20230113T1100,0.0
20230113T1200,0.0
20230113T1300,0.0
20230113T1400,0.0
20230113T1500,0.0
20230113T1600,0.0
20230113T1700,0.0
20230113T1800,0.0
20230113T1900,0.0
20230113T2000,0.0
20230113T2100,0.0
20230113T2200,0.0
20230113T2300,0.0
20230114T0000,0.0
20230114T0100,0.0
20230114T0200,0.0
20230114T0300,0.0
20230114T0400,0.0
20230114T0500,0.0
20230114T0600,0.0
20230114T0700,0.0
20230114T0800,0.0
20230114T0900,0.0
20230114T1000,0.0
20230114T1100,0.0
20230114T1200,0.0
20230114T1300,0.0
20230114T1400,0.0
20230114T1500,0.0
20230114T1600,0.0
20230114T1700,0.0
20230114T1800,0.0
20230114T1900,0.0
20230114T2000,0.0
20230114T2100,0.0
20230114T2200,0.0
20230114T2300,0.0
20230115T0000,0.0
20230115T0100,0.0
20230115T0200,0.0
20230115T0300,0.0
20230115T0400,0.0
20230115T0500,0.0
20230115T0600,0.0
20230115T0700,0.0
20230115T0800,0.0
20230115T0900,0.0
20230115T1000,0.0
20230115T1100,0.0
20230115T1200,0.0
20230115T1300,0.0
20230115T1400,0.0
20230115T1500,0.0
20230115T1600,0.0
20230115T1700,0.0
20230115T1800,0.0
20230115T1900,0.0
20230115T2000,0.0
20230115T2100,0.0
20230115T2200,0.0
20230115T2300,0.0
20230116T0000,0.0
20230116T0100,0.0
20230116T0200,0.0
20230116T0300,0.0
20230116T0400,0.0
20230116T0500,0.0
20230116T0600,0.0
20230116T0700,0.0
20230116T0800,0.0
20230116T0900,0.0
20230116T1000,0.0
20230116T1100,0.0
20230116T1200,0.0
20230116T1300,0.0
20230116T1400,0.0
20230116T1500,0.0
20230116T1600,0.0
20230116T1700,0.0
20230116T1800,0.0
20230116T1900,0.0
20230116T2000,0.0
20230116T2100,0.0
20230116T2200,0.0
20230116T2300,0.0
20230117T0000,0.0
20230117T0100,0.0
20230117T0200,0.0
20230117T0300,0.2
20230117T0400,0.2
20230117T0500,0.1
20230117T0600,0.1
20230117T0700,0.0
20230117T0800,0.0
20230117T0900,0.0
20230117T1000,0.0
20230117T1100,0.0
20230117T1200,0.0
20230117T1300,0.0
20230117T1400,0.0
20230117T1500,0.0
20230117T1600,0.0
20230117T1700,0.0
20230117T1800,0.0
20230117T1900,0.2
20230117T2000,0.1
20230117T2100,0.1
