location,Jardim de Belém
lat,38.67469
lon,-9.21349
asl,34.128
variable,Precipitation Total
unit,mm
level,sfc
resolution,hourly
aggregation,None
timestamp,Jardim de Belém Precipitation Total
20240101T0000,0.0
20240101T0100,0.0
20240101T0200,0.0
20240101T0300,0.0
20240101T0400,0.0
20240101T0500,0.0
20240101T0600,0.0
20240101T0700,0.0
20240101T0800,0.0
20240101T0900,0.0
20240101T1000,0.0
20240101T1100,0.0
20240101T1200,0.0
20240101T1300,0.0
20240101T1400,0.0
20240101T1500,0.0
20240101T1600,0.0
20240101T1700,0.0
20240101T1800,0.0
20240101T1900,0.0
20240101T2000,0.0
20240101T2100,0.0
20240101T2200,0.0
20240101T2300,0.0
20240102T0000,0.0
20240102T0100,0.0
20240102T0200,0.0
20240102T0300,0.0
20240102T0400,0.0
20240102T0500,0.0
20240102T0600,0.0
20240102T0700,0.0
20240102T0800,0.0
20240102T0900,0.0
20240102T1000,0.0
20240102T1100,0.0
20240102T1200,0.0
20240102T1300,0.0
20240102T1400,0.0
20240102T1500,0.0
20240102T1600,0.4
20240102T1700,0.7
20240102T1800,0.8
20240102T1900,0.1
20240102T2000,0.6
20240102T2100,0.4
20240102T2200,0.3
20240102T2300,2.1
20240103T0000,0.2
20240103T0100,0.2
20240103T0200,1.5
20240103T0300,1.1
20240103T0400,0.2
20240103T0500,0.0
20240103T0600,0.0
20240103T0700,0.0
20240103T0800,0.0
20240103T0900,0.6
20240103T1000,0.1
20240103T1100,0.2
20240103T1200,0.0
20240103T1300,0.0
20240103T1400,0.2
20240103T1500,0.2
20240103T1600,0.3
20240103T1700,0.2
20240103T1800,0.2
20240103T1900,1.1
20240103T2000,0.3
20240103T2100,0.0
20240103T2200,0.0
20240103T2300,0.0
20240104T0000,0.0
20240104T0100,0.0
20240104T0200,0.0
20240104T0300,0.0
20240104T0400,0.0
20240104T0500,0.0
20240104T0600,0.0
20240104T0700,0.0
20240104T0800,0.0
20240104T0900,0.0
20240104T1000,0.0
20240104T1100,0.0
20240104T1200,0.0
20240104T1300,0.0
20240104T1400,0.0
20240104T1500,0.0
20240104T1600,0.0
20240104T1700,0.0
20240104T1800,0.0
20240104T1900,0.3
20240104T2000,0.0
20240104T2100,0.0
20240104T2200,0.0
20240104T2300,0.0
20240105T0000,0.0
20240105T0100,0.0
20240105T0200,0.0
20240105T0300,0.0
20240105T0400,0.0
20240105T0500,0.0
20240105T0600,0.0
20240105T0700,0.0
20240105T0800,0.0
20240105T0900,0.0
20240105T1000,0.0
20240105T1100,0.0
20240105T1200,0.0
20240105T1300,0.0
20240105T1400,0.0
20240105T1500,0.0
20240105T1600,0.0
20240105T1700,0.0
20240105T1800,0.0
20240105T1900,0.0
20240105T2000,0.0
20240105T2100,0.0
20240105T2200,0.0
20240105T2300,0.0
20240106T0000,0.0
20240106T0100,0.0
20240106T0200,0.0
20240106T0300,0.0
20240106T0400,0.0
20240106T0500,0.0
20240106T0600,0.0
20240106T0700,0.0
20240106T0800,0.0
20240106T0900,0.0
20240106T1000,0.0
20240106T1100,0.0
20240106T1200,0.0
20240106T1300,0.0
20240106T1400,0.0
20240106T1500,0.0
20240106T1600,0.0
20240106T1700,0.0
20240106T1800,0.0
20240106T1900,0.0
20240106T2000,0.0
20240106T2100,0.0
20240106T2200,0.0
20240106T2300,0.0
20240107T0000,0.0
20240107T0100,0.0
20240107T0200,0.0
20240107T0300,0.0
20240107T0400,0.0
20240107T0500,0.0
20240107T0600,0.0
20240107T0700,0.0
20240107T0800,0.0
20240107T0900,0.0
20240107T1000,0.0
20240107T1100,0.0
20240107T1200,0.0
20240107T1300,0.0
20240107T1400,0.0
20240107T1500,0.0
20240107T1600,0.0
20240107T1700,0.0
20240107T1800,0.0
20240107T1900,0.0
20240107T2000,0.0
20240107T2100,0.0
20240107T2200,0.0
20240107T2300,0.0
20240108T0000,0.0
20240108T0100,0.0
20240108T0200,0.0
20240108T0300,0.0
20240108T0400,0.0
20240108T0500,0.0
20240108T0600,0.0
20240108T0700,0.0
20240108T0800,0.0
20240108T0900,0.0
20240108T1000,0.0
20240108T1100,0.0
20240108T1200,0.0
20240108T1300,0.3
20240108T1400,0.5
20240108T1500,1.1
20240108T1600,1.6
20240108T1700,3.3
20240108T1800,1.8
20240108T1900,1.3
20240108T2000,1.1
20240108T2100,0.4
20240108T2200,0.2
20240108T2300,0.8
20240109T0000,0.7
20240109T0100,0.3
20240109T0200,0.1
20240109T0300,0.0
20240109T0400,0.0
20240109T0500,0.0
20240109T0600,0.1
20240109T0700,0.5
20240109T0800,0.6
20240109T0900,0.2
20240109T1000,0.0
20240109T1100,0.0
20240109T1200,0.0
20240109T1300,0.0
20240109T1400,0.0
20240109T1500,0.0
20240109T1600,0.0
20240109T1700,0.0
20240109T1800,0.0
20240109T1900,0.0
20240109T2000,0.0
20240109T2100,0.0
20240109T2200,0.0
20240109T2300,0.0
20240110T0000,0.0
20240110T0100,0.0
20240110T0200,0.0
20240110T0300,0.0
20240110T0400,0.0
20240110T0500,0.0
20240110T0600,0.0
